City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Salalah,OM,17.02,54.09,80.6,88,40,4.7,scattered clouds
234,Te Anau,NZ,-45.42,167.72,46.18,87,99,9.62,light rain
235,Southbridge,US,42.08,-72.03,63.0,54,1,5.82,clear sky
236,Terre-De-Bas,GP,15.85,-61.64,86.0,79,0,9.17,clear sky
237,Jiuquan,CN,39.74,98.52,52.45,37,99,1.57,overcast clouds
238,Puerto Narino,CO,-3.77,-70.38,78.8,88,75,3.36,broken clouds
239,Shablykino,RU,52.86,35.2,53.92,95,15,6.13,few clouds
240,Kouroussa,GN,10.65,-9.88,75.27,85,61,1.41,moderate rain
241,Ust-Nera,RU,64.57,143.2,41.16,70,99,6.08,overcast clouds
242,Cochrane,CA,51.18,-114.47,48.2,81,90,12.75,overcast clouds
243,Chara,RU,56.91,118.26,44.1,81,100,6.42,overcast clouds
244,Malinovoye Ozero,RU,51.68,79.78,66.83,34,100,12.64,overcast clouds
245,Rongcheng,CN,30.63,117.85,71.58,92,100,1.03,light rain
246,Lagoa,PT,39.05,-27.98,65.73,67,51,18.68,broken clouds
247,Coxim,BR,-18.51,-54.76,85.46,19,0,4.09,clear sky
248,Omboue,GA,-1.57,9.26,75.43,83,88,9.89,overcast clouds
249,Keflavik,IS,64.0,-22.56,42.8,81,100,10.29,overcast clouds
250,Harper,LR,4.38,-7.72,75.27,87,52,10.67,broken clouds
251,Bereda,ES,43.27,-7.54,62.01,100,38,1.01,scattered clouds
252,Deputatskiy,RU,69.3,139.9,39.0,86,73,4.0,broken clouds
253,Clyde River,CA,70.47,-68.59,33.8,89,90,12.75,overcast clouds
254,Raudeberg,NO,61.99,5.14,48.0,95,100,35.37,overcast clouds
255,Port Lincoln,AU,-34.73,135.87,60.21,49,100,7.27,overcast clouds
256,Portree,GB,57.41,-6.19,53.01,90,76,8.99,broken clouds
257,Naze,JP,28.37,129.48,82.4,94,20,2.24,few clouds
258,Port-Gentil,GA,-0.72,8.78,77.0,88,40,17.05,scattered clouds
259,Balabac,PH,7.99,117.06,79.36,89,100,18.92,moderate rain
260,Lorengau,PG,-2.02,147.27,84.6,76,98,10.56,overcast clouds
261,Lata,PT,40.16,-8.33,66.0,88,10,1.12,clear sky
262,Kostomuksha,RU,64.57,30.58,39.97,89,60,1.21,broken clouds
263,Ketchikan,US,55.34,-131.65,62.6,63,1,9.17,clear sky
264,Souillac,MU,-20.52,57.52,68.0,68,75,17.22,broken clouds
265,Urumqi,CN,43.8,87.6,62.6,45,17,11.18,few clouds
266,Catuday,PH,16.29,119.81,80.04,81,100,11.03,overcast clouds
267,Adrar,MR,20.5,-10.07,98.31,15,31,1.32,scattered clouds
268,Mwense,ZM,-10.38,28.7,68.34,48,16,3.09,few clouds
269,San Cristobal,VE,7.77,-72.22,82.4,61,75,4.7,broken clouds
270,Leirvik,NO,59.78,5.5,57.0,99,100,1.99,light rain
271,Wildwood,US,38.58,-90.66,79.0,47,90,4.7,overcast clouds
272,Sao Filipe,CV,14.9,-24.5,79.75,82,73,6.96,broken clouds
273,Altagracia De Orituco,VE,9.86,-66.38,74.01,88,15,4.23,few clouds
274,Port Hardy,CA,50.7,-127.42,68.0,68,90,13.87,smoke
275,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,74.57,84,58,11.25,broken clouds
276,Trnava,SK,48.38,17.59,69.01,88,0,8.05,clear sky
277,Jatiroto,ID,-7.88,111.12,69.4,78,69,2.77,broken clouds
278,Galle,LK,6.04,80.22,79.34,87,73,11.86,broken clouds
279,Hervey Bay,AU,-25.3,152.85,66.0,86,0,4.0,clear sky
280,Carballo,ES,43.21,-8.69,66.2,82,20,4.7,few clouds
281,La Asuncion,VE,11.03,-63.86,82.22,82,90,11.54,overcast clouds
282,Kavaratti,IN,10.57,72.64,81.39,81,85,18.48,overcast clouds
283,Balagansk,RU,54.01,103.05,49.01,80,96,1.52,overcast clouds
