City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,Kirakira,SB,82.56,overcast clouds,-10.45,161.92,SanBiz Lodge
366,Carutapera,BR,77.79,broken clouds,-1.2,-46.02,Lidera
368,Oussouye,SN,80.6,thunderstorm,12.48,-16.55,Auberge du Routard
369,Chihuahua,MX,81.0,broken clouds,28.5,-106.0,
372,Tiarei,PF,84.2,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
375,Codajas,BR,84.36,light rain,-3.84,-62.06,Hotel Tamires
382,Male,MV,81.99,overcast clouds,4.17,73.51,Hotel Octave Maldives
386,Teguise,ES,75.2,few clouds,29.06,-13.56,B&B La Casona de Nazaret
392,Mount Isa,AU,75.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
396,Eyl,SO,78.98,scattered clouds,7.98,49.82,Amiin Hotel
398,Estelle,US,84.0,broken clouds,29.85,-90.11,Comfort Inn Marrero - New Orleans West
405,Benemerito De Las Americas,MX,83.88,broken clouds,16.52,-90.64,"Tres Lagunas, Selva Lacandona"
406,Sola,VU,78.8,overcast clouds,-13.88,167.55,Leumerus Bungalows
407,Rangoon,MM,78.8,heavy intensity rain,16.81,96.16,"Sule Shangri-La, Yangon"
408,Padang,ID,77.18,light rain,-0.95,100.35,Mercure Padang
409,Lompoc,US,75.99,haze,34.64,-120.46,Holiday Inn Express Lompoc
411,Port Moresby,PG,78.8,broken clouds,-9.44,147.18,Lamana Hotel
417,Gashua,NG,82.18,few clouds,12.87,11.05,Forte Oil - Old Lorry Park
422,Iranshahr,IR,77.0,few clouds,27.2,60.68,کافی نت دانشگاه
424,Labuhan,ID,76.1,scattered clouds,-6.88,112.21,bador sepret
426,Marsaxlokk,MT,78.01,broken clouds,35.84,14.54,Water's Edge
428,Polonnaruwa,LK,78.98,overcast clouds,7.93,81.0,Thisara Guest House
432,Guarapari,BR,75.99,scattered clouds,-20.67,-40.5,Hotel Porto do Sol
