City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Murgab,TM,2020-08-25 21:37:47,37.5,61.97,75.2,41,90,9.17
90,Teya,RU,2020-08-25 21:37:47,60.38,92.63,49.53,89,47,1.01
91,Berdigestyakh,RU,2020-08-25 21:37:47,62.1,126.7,42.22,66,0,3.65
92,Guerrero Negro,MX,2020-08-25 21:37:48,27.98,-114.06,81.46,63,19,16.8
93,Port Hawkesbury,CA,2020-08-25 21:37:48,45.62,-61.35,70.0,88,90,11.41
94,Pevek,RU,2020-08-25 21:37:48,69.7,170.31,38.39,98,100,3.11
95,Butaritari,KI,2020-08-25 21:37:48,3.07,172.79,81.5,68,47,5.17
96,Reconquista,AR,2020-08-25 21:37:49,-29.15,-59.65,80.53,46,36,9.75
97,Lincoln,US,2020-08-25 21:34:28,40.8,-96.67,96.01,38,1,14.99
98,Hithadhoo,MV,2020-08-25 21:37:49,-0.6,73.08,81.59,76,100,8.46
99,Busselton,AU,2020-08-25 21:37:49,-33.65,115.33,45.0,76,50,1.79
100,Acari,PE,2020-08-25 21:37:50,-15.43,-74.62,65.86,66,66,7.43
101,Khatanga,RU,2020-08-25 21:37:50,71.97,102.5,53.51,71,50,3.94
102,Sam Roi Yot,TH,2020-08-25 21:37:50,12.27,99.87,76.19,86,19,5.03
103,Thompson,CA,2020-08-25 21:37:35,55.74,-97.86,53.6,76,90,6.93
104,Barmer,IN,2020-08-25 21:37:50,25.75,71.38,77.05,86,78,13.0
105,Kenora,CA,2020-08-25 21:34:46,49.82,-94.43,77.0,53,90,6.93
106,Jaisalmer,IN,2020-08-25 21:37:51,26.91,70.92,79.36,84,86,13.98
107,Alekseyevsk,RU,2020-08-25 21:37:51,57.84,108.35,47.88,76,0,3.65
108,Noumea,NC,2020-08-25 21:37:51,-22.28,166.46,70.0,72,55,1.12
109,Iqaluit,CA,2020-08-25 21:36:51,63.75,-68.51,53.6,58,75,12.75
110,Beni,CD,2020-08-25 21:37:52,0.5,29.47,62.42,100,44,1.66
111,Calvinia,ZA,2020-08-25 21:37:52,-31.47,19.78,44.38,89,2,4.36
112,Balikpapan,ID,2020-08-25 21:37:52,-1.27,116.83,75.9,90,60,7.09
113,Matara,LK,2020-08-25 21:37:53,5.95,80.54,78.49,87,100,5.12
114,Kholodnyy,RU,2020-08-25 21:37:53,62.72,147.95,44.4,60,96,7.38
115,Namatanai,PG,2020-08-25 21:37:53,-3.67,152.43,81.34,75,7,6.96
116,Swinoujscie,PL,2020-08-25 21:37:53,53.91,14.25,64.99,77,100,17.31
117,Uuemoisa,EE,2020-08-25 21:37:54,58.94,23.59,61.0,59,17,8.99
118,Anchorage,US,2020-08-25 21:37:28,61.22,-149.9,55.99,82,90,5.82
119,Lavrentiya,RU,2020-08-25 21:37:54,65.58,-171.0,48.18,86,92,5.68
120,Nyurba,RU,2020-08-25 21:37:54,63.28,118.33,41.49,73,0,3.44
121,Varkaus,FI,2020-08-25 21:37:55,62.32,27.87,53.6,100,95,3.36
122,Fort Nelson,CA,2020-08-25 21:37:55,58.81,-122.7,64.4,48,75,12.75
123,Kodiak,US,2020-08-25 21:37:55,57.79,-152.41,58.86,63,92,1.52
124,Colesberg,ZA,2020-08-25 21:34:05,-30.72,25.1,51.66,32,18,11.16
125,Caranavi,BO,2020-08-25 21:37:56,-15.82,-67.55,70.66,73,44,1.95
126,Port Elizabeth,ZA,2020-08-25 21:37:56,-33.92,25.57,60.8,82,1,26.4
127,Loughborough,GB,2020-08-25 21:37:56,52.77,-1.2,59.0,87,75,26.4
